analysis_type,model,comparison,split,condition,metric,raw_or_reference,calibrated_or_candidate,observed_difference,bootstrap_mean,bootstrap_std,ci_low,ci_high,includes_zero
calibration_effect,C1,C1,unseen_test,resize_112,BRIER,raw,calibrated,-0.04228554271619811,-0.042245071250357015,0.0033161343960139544,-0.048740474513844036,-0.03585545102433919,False
calibration_effect,C0,C0,unseen_test,resize_112,ECE15,raw,calibrated,-0.05346979285676989,-0.05378654310087743,0.005926208083652895,-0.06567965250995571,-0.04237846744419665,False
calibration_effect,C1,C1,unseen_test,resize_112,ECE15,raw,calibrated,-0.11417771709533708,-0.11328808332060752,0.004446916881687157,-0.12104914582925208,-0.10349363117444917,False
selective_risk,C0,risk_80_minus_risk_100,unseen_test,resize_112,selective_risk_difference,100% policy,80% policy,-0.0680515114513377,-0.06819325674155687,0.007860768895193316,-0.0837409117801613,-0.05311195890684929,False
selective_coverage,C0,C0,unseen_test,resize_112,actual_coverage_80,validation_target_0.80,test_actual,0.697429906542056,0.6972735981308411,0.011028211925159771,0.6752336448598131,0.7184579439252337,False
selective_risk,C1,risk_80_minus_risk_100,unseen_test,resize_112,selective_risk_difference,100% policy,80% policy,-0.06911993769470404,-0.06921668297362397,0.007216416702561385,-0.08364540367062759,-0.05555375761275295,False
selective_coverage,C1,C1,unseen_test,resize_112,actual_coverage_80,validation_target_0.80,test_actual,0.75,0.7499147196261682,0.010348612290068818,0.7295560747663551,0.7692757009345794,False
calibration_effect,C0,C0,unseen_test,blur_sigma2,NLL,raw,calibrated,-1.4830993858016193,-1.4827365526078446,0.023506667758819433,-1.5296711986378806,-1.4371554175452022,False
calibration_effect,C1,C1,unseen_test,blur_sigma2,NLL,raw,calibrated,-2.896901821436887,-2.896939321571803,0.05174507384236091,-3.0012547675416883,-2.7972594688541768,False
calibration_effect,C0,C0,unseen_test,blur_sigma2,BRIER,raw,calibrated,-0.040396478327575536,-0.04042735902055104,0.0012650601786228918,-0.04292703767893035,-0.037973456410370934,False
calibration_effect,C1,C1,unseen_test,blur_sigma2,BRIER,raw,calibrated,-0.07614957365779512,-0.07611620096119238,0.0022369022152367384,-0.08053444695699119,-0.0717832576394479,False
calibration_effect,C0,C0,unseen_test,blur_sigma2,ECE15,raw,calibrated,-0.03436881462346625,-0.03443424364574298,0.0010301878009935852,-0.03651245746837168,-0.03247908249768845,False
calibration_effect,C1,C1,unseen_test,blur_sigma2,ECE15,raw,calibrated,-0.06755848541195392,-0.0679405183749923,0.002266857709560628,-0.07242175841214063,-0.0635627727068517,False
selective_risk,C0,risk_80_minus_risk_100,unseen_test,blur_sigma2,selective_risk_difference,100% policy,80% policy,-0.0047612055904533435,-0.0047875135267248055,0.002357142497856243,-0.0093691076627643,-9.951509281234891e-05,False
selective_coverage,C0,C0,unseen_test,blur_sigma2,actual_coverage_80,validation_target_0.80,test_actual,0.9620327102803738,0.962204906542056,0.004599448085740459,0.9526869158878505,0.9707943925233645,False
selective_risk,C1,risk_80_minus_risk_100,unseen_test,blur_sigma2,selective_risk_difference,100% policy,80% policy,-0.011962719749680883,-0.011968222546067693,0.0034412954279249,-0.018876432791127058,-0.005429750034100725,False
selective_coverage,C1,C1,unseen_test,blur_sigma2,actual_coverage_80,validation_target_0.80,test_actual,0.9281542056074766,0.9281447429906542,0.006091359658579258,0.9158878504672897,0.9398364485981309,False
c1_vs_c0_selective,C1,C1_minus_C0,unseen_test,blur_sigma2,selective_risk_80,C0,C1,-0.014210859953620036,-0.014214505350257292,0.0025675980555868922,-0.019390826033942012,-0.009321112090547224,False
calibration_effect,C0,C0,unseen_test,screenshot_strong,NLL,raw,calibrated,-0.2497594270960457,-0.25051447749495,0.017468024328649495,-0.2864423969315503,-0.21796960452066536,False
calibration_effect,C1,C1,unseen_test,screenshot_strong,NLL,raw,calibrated,-0.8096388645289364,-0.8097818142770338,0.04342754226523612,-0.8959452284995536,-0.7256798328849476,False
calibration_effect,C0,C0,unseen_test,screenshot_strong,BRIER,raw,calibrated,-0.025817634880759915,-0.025813455562337675,0.0020484424735513194,-0.02985770973277237,-0.02182407351627762,False
calibration_effect,C1,C1,unseen_test,screenshot_strong,BRIER,raw,calibrated,-0.05240003482927752,-0.052359470871869054,0.0033232722896995195,-0.058946991127904864,-0.04588930838458002,False
calibration_effect,C0,C0,unseen_test,screenshot_strong,ECE15,raw,calibrated,-0.0708727106347839,-0.07045335941920342,0.004704469226905658,-0.07916428682560829,-0.06077617520336586,False
calibration_effect,C1,C1,unseen_test,screenshot_strong,ECE15,raw,calibrated,-0.10552299580239274,-0.10266182568753988,0.00573587658551282,-0.11331641097352038,-0.0907476224071438,False
selective_risk,C0,risk_80_minus_risk_100,unseen_test,screenshot_strong,selective_risk_difference,100% policy,80% policy,-0.06803016908157089,-0.06821901420175285,0.007648619282555536,-0.08339677713041045,-0.05303210628209645,False
selective_coverage,C0,C0,unseen_test,screenshot_strong,actual_coverage_80,validation_target_0.80,test_actual,0.7132009345794392,0.7133177570093457,0.010711528443452363,0.6927424065420561,0.7348130841121495,False
selective_risk,C1,risk_80_minus_risk_100,unseen_test,screenshot_strong,selective_risk_difference,100% policy,80% policy,-0.05166049045935395,-0.051718314442528106,0.006799587625506886,-0.06521985848235727,-0.038781955252335305,False
selective_coverage,C1,C1,unseen_test,screenshot_strong,actual_coverage_80,validation_target_0.80,test_actual,0.7704439252336449,0.7702484813084113,0.010009203884299949,0.75,0.7891355140186916,False
c1_vs_c0_selective,C1,C1_minus_C0,unseen_test,screenshot_strong,selective_risk_80,C0,C1,0.033308930958665606,0.033264491120806164,0.005719030318328502,0.02215824694784072,0.04452229411830716,False
