comparison,split,condition,metric,observed_reference,observed_candidate,observed_difference,bootstrap_mean_difference,bootstrap_std,ci_low,ci_high,includes_zero,analysis_type,interpretation
A1_vs_A0,unseen_test,original,average_precision,0.8709269699460437,0.8814709488587468,0.01054397891270309,0.010485778228433554,0.004788686282496959,0.0010901342024059154,0.019634377597551867,False,secondary_ablation,consistent positive difference under the current fixed-sample bootstrap
A1_vs_A0,unseen_test,jpeg_q50,roc_auc,0.8184441599703031,0.835779871604507,0.017335711634203887,0.01719845974539261,0.005639423928502215,0.006508517392348612,0.02839446949515235,False,secondary_ablation,consistent positive difference under the current fixed-sample bootstrap
A1_vs_A0,unseen_test,jpeg_q50,average_precision,0.8369147352907144,0.8520971445670534,0.01518240927633907,0.015092460493646655,0.005363633475893309,0.004848762660677089,0.025583156228104618,False,secondary_ablation,consistent positive difference under the current fixed-sample bootstrap
A1_vs_A0,unseen_test,resize_112,roc_auc,0.7809954744955891,0.8164127325530615,0.03541725805747231,0.035293259236614555,0.007118187973355534,0.021145235118787624,0.0488780065398726,False,secondary_ablation,consistent positive difference under the current fixed-sample bootstrap
A1_vs_A0,unseen_test,resize_112,average_precision,0.8090666681777989,0.8373130133470481,0.028246345169249176,0.028103787176943507,0.00675513793369117,0.01498633874320422,0.041213255506800175,False,secondary_ablation,consistent positive difference under the current fixed-sample bootstrap
A1_vs_A0,unseen_test,blur_sigma2,roc_auc,0.6925065780854223,0.8013622914665036,0.10885571338108135,0.10886187999497775,0.010588790750126939,0.08789715873111198,0.1299361059099049,False,secondary_ablation,consistent positive difference under the current fixed-sample bootstrap
A1_vs_A0,unseen_test,blur_sigma2,average_precision,0.718821234661659,0.8198434994537955,0.1010222647921365,0.10087690677786271,0.010059613598188862,0.08157854362430765,0.12075023118287614,False,secondary_ablation,consistent positive difference under the current fixed-sample bootstrap
A1_vs_A0,unseen_test,screenshot_strong,roc_auc,0.7927712027251288,0.7978958315136693,0.005124628788540475,0.005161033987684516,0.006361217043541198,-0.007408944012577517,0.01756737760939819,True,secondary_ablation,not clearly distinguishable from zero under this fixed-sample bootstrap
A1_vs_A0,unseen_test,screenshot_strong,average_precision,0.7953355974300799,0.8176752485632317,0.02233965113315184,0.022255328590021627,0.007896064971604066,0.0073020542791756345,0.03799774012294536,False,secondary_ablation,consistent positive difference under the current fixed-sample bootstrap
A3_vs_A0,unseen_test,original,roc_auc,0.8589887763123416,0.8612310572975806,0.0022422809852390424,0.002183735752030743,0.005130188073039821,-0.007919700956415286,0.012012409653681489,True,secondary_ablation,not clearly distinguishable from zero under this fixed-sample bootstrap
A3_vs_A0,unseen_test,original,average_precision,0.8709269699460437,0.8737944175820511,0.0028674476360074364,0.002775792912844498,0.005018593448412574,-0.007123885385380715,0.012463568304694698,True,secondary_ablation,not clearly distinguishable from zero under this fixed-sample bootstrap
A3_vs_A0,unseen_test,jpeg_q50,roc_auc,0.8184441599703031,0.8368580225347192,0.018413862564416128,0.01833521077168312,0.005613847239469169,0.007488099397327311,0.029542802591929467,False,secondary_ablation,consistent positive difference under the current fixed-sample bootstrap
A3_vs_A0,unseen_test,jpeg_q50,average_precision,0.8369147352907144,0.8534875884418317,0.01657285315111734,0.016457434709203,0.005318501828863018,0.006007375114378613,0.026999485894323355,False,secondary_ablation,consistent positive difference under the current fixed-sample bootstrap
A3_vs_A0,unseen_test,resize_112,roc_auc,0.7809954744955891,0.812517741724168,0.03152226722857887,0.03139680758144816,0.006863412060236382,0.018072846154685927,0.04463009187483628,False,secondary_ablation,consistent positive difference under the current fixed-sample bootstrap
A3_vs_A0,unseen_test,resize_112,average_precision,0.8090666681777989,0.8367653030144866,0.027698634836687663,0.027521554514750902,0.006543058265711353,0.014927180131409956,0.040219997432220815,False,secondary_ablation,consistent positive difference under the current fixed-sample bootstrap
A3_vs_A0,unseen_test,blur_sigma2,roc_auc,0.6925065780854223,0.7790322844789939,0.0865257063935716,0.08652715125229278,0.009691665212604905,0.06781765533561886,0.10568772381867397,False,secondary_ablation,consistent positive difference under the current fixed-sample bootstrap
A3_vs_A0,unseen_test,blur_sigma2,average_precision,0.718821234661659,0.8052205261149329,0.08639929145327385,0.08621401424892321,0.009302010954474391,0.06783548444591625,0.10506790358856855,False,secondary_ablation,consistent positive difference under the current fixed-sample bootstrap
A3_vs_A0,unseen_test,screenshot_strong,roc_auc,0.7927712027251288,0.8069714057996332,0.014200203074504425,0.01420727246921128,0.006239147566317061,0.002095604692549613,0.02602591520001736,False,secondary_ablation,consistent positive difference under the current fixed-sample bootstrap
A3_vs_A0,unseen_test,screenshot_strong,average_precision,0.7953355974300799,0.8180462536403903,0.02271065621031043,0.022611713434879752,0.007659622318271481,0.007489251587662596,0.03796363013665473,False,secondary_ablation,consistent positive difference under the current fixed-sample bootstrap
A3_vs_A2,unseen_test,StrongRobustTest,roc_auc,0.8042492452943489,0.8224097765088654,0.01816053121451644,0.01807423563875666,0.004500570412789844,0.009290658572801286,0.02670551279724221,False,secondary_ablation,consistent positive difference under the current fixed-sample bootstrap
A2_vs_A0,unseen_test,original,balanced_accuracy,0.7470794392523364,0.7686915887850467,0.02161214953271029,0.02175876168224299,0.007083857620858233,0.007593457943925297,0.0350613317757008,False,secondary_operating_point,consistent positive difference under the current fixed-sample bootstrap
A2_vs_A0,unseen_test,resize_112,balanced_accuracy,0.5794392523364486,0.701518691588785,0.12207943925233644,0.12188644859813084,0.009806858774446023,0.10221962616822433,0.14135514018691586,False,secondary_operating_point,consistent positive difference under the current fixed-sample bootstrap
A2_vs_A0,unseen_test,blur_sigma2,balanced_accuracy,0.5058411214953271,0.5017523364485981,-0.004088785046729049,-0.0040551401869158895,0.0023480664820384276,-0.008761682242990676,0.0005841121495326895,True,secondary_operating_point,not clearly distinguishable from zero under this fixed-sample bootstrap
A2_vs_A0,unseen_test,screenshot_strong,balanced_accuracy,0.717873831775701,0.733644859813084,0.01577102803738306,0.015839602803738313,0.009442112426410278,-0.002336448598130869,0.034462616822430014,True,secondary_operating_point,not clearly distinguishable from zero under this fixed-sample bootstrap
