model,split,condition,severity,num_samples,roc_auc,average_precision,accuracy,balanced_accuracy,precision,recall,specificity,f1,fpr,threshold,delta_auc,delta_ap,delta_balanced_accuracy,delta_recall,delta_f1
MobileNetV3-Small,unseen_test,blur_sigma2,strong,1712,0.6925065780854223,0.718821234661659,0.5058411214953271,0.5058411214953271,0.5029515938606848,0.9953271028037384,0.016355140186915886,0.668235294117647,0.9836448598130841,0.7300598621368408,-0.16648219822691934,-0.15210573528438465,-0.24123831775700932,0.39953271028037385,-0.033760576494878736
EfficientNet-B0,known_test,original,reference,456,0.9587757771622037,0.9637023807642139,0.875,0.875,0.8547717842323651,0.9035087719298246,0.8464912280701754,0.8784648187633263,0.15350877192982457,0.2636917531490326,0.0,0.0,0.0,0.0,0.0
EfficientNet-B0,known_test,jpeg_q75,mild,456,0.9430401662049861,0.9475921544136096,0.8552631578947368,0.8552631578947368,0.8292682926829268,0.8947368421052632,0.8157894736842105,0.8607594936708861,0.18421052631578946,0.2636917531490326,-0.01573561095721765,-0.01611022635060433,-0.019736842105263164,-0.00877192982456143,-0.01770532509244016
EfficientNet-B0,known_test,jpeg_q50,strong,456,0.9280355493998154,0.9308456872288261,0.8377192982456141,0.8377192982456141,0.8290598290598291,0.8508771929824561,0.8245614035087719,0.8398268398268398,0.17543859649122806,0.2636917531490326,-0.030740227762388384,-0.03285669353538778,-0.037280701754385914,-0.052631578947368474,-0.03863797893648646
EfficientNet-B0,known_test,crop_90,mild,456,0.9585641735918745,0.9632628888604783,0.875,0.875,0.8518518518518519,0.9078947368421053,0.8421052631578947,0.8789808917197452,0.15789473684210525,0.2636917531490326,-0.00021160357032923294,-0.00043949190373560043,0.0,0.004385964912280715,0.0005160729564189781
EfficientNet-B0,known_test,crop_75,strong,456,0.952100646352724,0.9558340614950661,0.8530701754385965,0.8530701754385965,0.8132295719844358,0.9166666666666666,0.7894736842105263,0.8618556701030928,0.21052631578947367,0.2636917531490326,-0.00667513080947979,-0.007868319269147772,-0.021929824561403466,0.013157894736842035,-0.01660914866023344
EfficientNet-B0,known_test,resize_160,mild,456,0.9586411203447215,0.9618200552006593,0.8442982456140351,0.8442982456140351,0.7773851590106007,0.9649122807017544,0.7236842105263158,0.8610567514677103,0.27631578947368424,0.2636917531490326,-0.00013465681748225933,-0.00188232556355461,-0.030701754385964897,0.06140350877192979,-0.017408067295615948
EfficientNet-B0,known_test,resize_112,strong,456,0.8756251923668822,0.8796987478862952,0.5614035087719298,0.5614035087719298,0.5328638497652582,0.9956140350877193,0.12719298245614036,0.6941896024464832,0.8728070175438597,0.2636917531490326,-0.08315058479532156,-0.08400363287791868,-0.3135964912280702,0.09210526315789469,-0.18427521631684307
EfficientNet-B0,known_test,blur_sigma1,mild,456,0.7872326100338566,0.7959173353098818,0.5285087719298246,0.5285087719298246,0.5146726862302483,1.0,0.05701754385964912,0.6795827123695977,0.9429824561403509,0.2636917531490326,-0.17154316712834716,-0.16778504545433204,-0.3464912280701754,0.0964912280701754,-0.1988821063937286
EfficientNet-B0,known_test,blur_sigma2,strong,456,0.6033298707294552,0.5888296622061044,0.5,0.5,0.5,1.0,0.0,0.6666666666666666,1.0,0.2636917531490326,-0.35544590643274854,-0.37487271855810944,-0.375,0.0964912280701754,-0.21179815209665964
EfficientNet-B0,unseen_test,original,reference,1712,0.8589150799196436,0.8805020097815437,0.7938084112149533,0.7938084112149533,0.8488210818307905,0.7149532710280374,0.8726635514018691,0.7761572606214331,0.12733644859813084,0.2636917531490326,0.0,0.0,0.0,0.0,0.0
EfficientNet-B0,unseen_test,jpeg_q75,mild,1712,0.8420727246921129,0.8626356798079758,0.7675233644859814,0.7675233644859814,0.8013157894736842,0.7114485981308412,0.8235981308411215,0.7537128712871287,0.1764018691588785,0.2636917531490326,-0.016842355227530637,-0.01786632997356785,-0.026285046728971917,-0.003504672897196248,-0.02244438933430437
EfficientNet-B0,unseen_test,jpeg_q50,strong,1712,0.8350278954493843,0.8557740105570284,0.7646028037383178,0.7646028037383177,0.8015978695073236,0.7032710280373832,0.8259345794392523,0.7492221530802738,0.17406542056074767,0.2636917531490326,-0.02388718447025928,-0.024727999224515296,-0.029205607476635587,-0.011682242990654235,-0.026935107541159242
EfficientNet-B0,unseen_test,crop_90,mild,1712,0.8683127347366582,0.8890118428728289,0.790303738317757,0.790303738317757,0.8335570469798658,0.7254672897196262,0.8551401869158879,0.7757651467832605,0.14485981308411214,0.2636917531490326,0.0093976548170146,0.008509833091285168,-0.003504672897196248,0.010514018691588745,-0.00039211383817261414
EfficientNet-B0,unseen_test,crop_75,strong,1712,0.8686443685037994,0.88496582552793,0.7949766355140186,0.7949766355140186,0.8160200250312891,0.7616822429906542,0.8282710280373832,0.7879154078549849,0.17172897196261683,0.2636917531490326,0.009729288584155893,0.004463815746386324,0.001168224299065379,0.04672897196261683,0.011758147233551841
EfficientNet-B0,unseen_test,resize_160,mild,1712,0.8677504585553323,0.8863599303995673,0.7669392523364486,0.7669392523364487,0.7377731529656608,0.8282710280373832,0.705607476635514,0.7804072647220693,0.29439252336448596,0.2636917531490326,0.008835378635688729,0.005857920618023593,-0.026869158878504606,0.11331775700934577,0.004250004100636251
EfficientNet-B0,unseen_test,resize_112,strong,1712,0.7878424152764434,0.8030586306981419,0.5671728971962616,0.5671728971962617,0.5371687136393019,0.9707943925233645,0.16355140186915887,0.6916354556803995,0.8364485981308412,0.2636917531490326,-0.07107266464320017,-0.07744337908340182,-0.22663551401869153,0.2558411214953271,-0.08452180494103356
EfficientNet-B0,unseen_test,blur_sigma1,mild,1712,0.7399697844789938,0.7353905918276735,0.5175233644859814,0.5175233644859814,0.5089498806682577,0.9964953271028038,0.038551401869158876,0.6737756714060031,0.9614485981308412,0.2636917531490326,-0.1189452954406498,-0.14511141795387017,-0.2762850467289719,0.28154205607476634,-0.10238158921542995
EfficientNet-B0,unseen_test,blur_sigma2,strong,1712,0.5929509400384313,0.5787960025869004,0.5,0.5,0.5,1.0,0.0,0.6666666666666666,1.0,0.2636917531490326,-0.26596413988121226,-0.30170600719464324,-0.29380841121495327,0.2850467289719626,-0.10949059395476646
