C,fold,generator_id,legacy_or_modern,n,ai_recall_050,mean_p_ai,median_p_ai
10.0,2,qwen::GLM-Image,modern,100,0.33,0.3791503608226776,0.2763756513595581
10.0,2,qwen::Seedream-4.0,modern,100,0.27,0.28868651390075684,0.14175590872764587
10.0,2,qwen::nano-banana-2.0,modern,100,0.22,0.26310300827026367,0.1304088830947876
10.0,2,qwen::nano-banana-pro,modern,100,0.25,0.27808907628059387,0.15156987309455872
10.0,2,tiny::BigGAN,legacy,286,0.916083916083916,0.8333832025527954,0.9121642708778381
10.0,2,tiny::VQDM,legacy,285,0.42105263157894735,0.4352402985095978,0.3770964443683624
10.0,3,qwen::FLUX.2-pro,modern,100,0.27,0.289712131023407,0.13940775394439697
10.0,3,qwen::GPT-Image-1,modern,100,0.31,0.3505249321460724,0.23708996176719666
10.0,3,qwen::GPT-Image-1.5,modern,100,0.23,0.2811541259288788,0.17721670866012573
10.0,3,qwen::HunyuanImage-3.0,modern,100,0.33,0.3713216781616211,0.2425728738307953
10.0,3,qwen::Seedream-4.5,modern,100,0.19,0.23066915571689606,0.09005329757928848
10.0,3,tiny::GLIDE,legacy,286,0.9825174825174825,0.9169144034385681,0.9579628109931946
10.0,3,tiny::Wukong,legacy,285,0.887719298245614,0.8219471573829651,0.9268714189529419
10.0,4,qwen::Imagen-4.0,modern,100,0.21,0.26622700691223145,0.14911410212516785
10.0,4,qwen::Imagen-4.0-Ultra,modern,100,0.27,0.28635331988334656,0.1490882933139801
10.0,4,qwen::Qwen-Image,modern,100,0.26,0.28312331438064575,0.13297829031944275
10.0,4,qwen::Qwen-Image-2.0-pro,modern,100,0.24,0.26974913477897644,0.15002447366714478
10.0,4,qwen::Seedream-5.0,modern,100,0.21,0.23037919402122498,0.08272416889667511
10.0,4,tiny::Midjourney,legacy,286,0.8601398601398601,0.7986478805541992,0.9017843008041382
